Posizioa,Porreoa,Gaur,Guztira
1,Talde Izena 1,0,0
2,Talde Izena 2,0,0
3,Talde Izena 3,0,0
4,Talde Izena 4,0,0
5,Talde Izena 5,0,0
6,Talde Izena 6,0,0
7,Talde Izena 7,0,0
8,Talde Izena 8,0,0
9,Talde Izena 9,0,0
10,Talde Izena 10,0,0
11,Talde Izena 11,0,0
12,Talde Izena 12,0,0
13,Talde Izena 13,0,0
14,Talde Izena 14,0,0
15,Talde Izena 15,0,0
16,Talde Izena 16,0,0
17,Talde Izena 17,0,0
18,Talde Izena 18,0,0
19,Talde Izena 19,0,0
20,Talde Izena 20,0,0
21,Talde Izena 21,0,0
22,Talde Izena 22,0,0
23,Talde Izena 23,0,0
24,Talde Izena 24,0,0
25,Talde Izena 25,0,0
26,Talde Izena 26,0,0
27,Talde Izena 27,0,0
28,Talde Izena 28,0,0
29,Talde Izena 29,0,0
30,Talde Izena 30,0,0
31,Talde Izena 31,0,0
32,Talde Izena 32,0,0
33,Talde Izena 33,0,0
34,Talde Izena 34,0,0
35,Talde Izena 35,0,0
36,Talde Izena 36,0,0
37,Talde Izena 37,0,0
38,Talde Izena 38,0,0
39,Talde Izena 39,0,0
40,Talde Izena 40,0,0
41,Talde Izena 41,0,0
42,Talde Izena 42,0,0
43,Talde Izena 43,0,0
44,Talde Izena 44,0,0
45,Talde Izena 45,0,0
46,Talde Izena 46,0,0
47,Talde Izena 47,0,0
48,Talde Izena 48,0,0
49,Talde Izena 49,0,0
50,Talde Izena 50,0,0
51,Talde Izena 51,0,0
52,Talde Izena 52,0,0
53,Talde Izena 53,0,0
54,Talde Izena 54,0,0
55,Talde Izena 55,0,0
56,Talde Izena 56,0,0
57,Talde Izena 57,0,0
58,Talde Izena 58,0,0
59,Talde Izena 59,0,0
60,Talde Izena 60,0,0
61,Talde Izena 61,0,0
62,Talde Izena 62,0,0
63,Talde Izena 63,0,0
64,Talde Izena 64,0,0
65,Talde Izena 65,0,0
66,Talde Izena 66,0,0
