Posizioa,Zbkia,Txirrindularia,Zenbatek?,Puntuak,Zenbat probatan
1,1819,Tadej POGAČAR,37,3670,7
2,0123,Mathieu VAN DER POEL,37,3455,7
3,0117,Jasper PHILIPSEN,33,2170,6
4,2618,Maxim VAN GILS,10,1730,6
5,1218,Mads PEDERSEN,36,1576,5
6,1812,Marc HIRSCHI,17,1485,5
7,1613,Michael MATTHEWS,8,1455,5
8,1820,Nils POLITT,10,1390,5
9,1702,Tiesj BENOOT,28,1255,7
10,1221,Toms SKUJINS,1,1033,6
11,1012,Thomas PIDCOCK,35,995,5
12,1406,Remco EVENEPOEL,35,915,2
13,1104,Biniam GIRMAY,16,810,3
14,1501,Romain BARDET,0,810,3
15,1401,Julian ALAPHILIPPE,15,805,3
16,0404,Pello BILBAO LOPEZ DE ARMENTIA,7,760,4
17,0516,Jordi MEEUS,6,745,3
18,1707,Matteo JORGENSON,11,740,3
19,0216,Luca MOZZATO,0,725,3
20,0908,Stefan KÜNG,28,725,3
21,1214,Jonathan MILAN,12,695,3
22,0616,Ion IZAGUIRRE INSAUSTI,1,665,2
23,1709,Olav KOOIJ,8,640,3
24,1222,Jasper STUYVEN,15,615,3
25,1215,Bauke MOLLEMA,0,575,5
26,1418,Mauri VANSEVENANT,0,555,2
27,2628,Lennert VAN EETVELT,0,540,3
28,0716,Ben O'CONNOR,0,531,2
29,0802,Alberto BETTIOL,11,520,2
30,1204,Giulio CICCONE,0,520,1
31,0911,Valentin MADOUAS,17,513,5
32,1315,Enric MAS NICOLAU,1,510,2
33,0715,Oliver NAESEN,1,485,3
34,0412,Matej MOHORIC,35,478,4
35,1719,Wout VAN AERT,36,475,2
36,0815,Neilson POWLESS,32,465,3
37,3401,Jonas ABRAHAMSEN,0,448,2
38,1807,Mikkel BJERG,0,440,1
39,1826,Tim WELLENS,8,435,5
40,2522,Stephen WILLIAMS,0,400,1
41,1412,Tim MERLIER,1,375,2
42,0718,Aurélien PARET PEINTRE,0,360,1
43,1830,António MORGADO,0,360,1
44,0501,Roger ADRIA OLIVERAS,0,355,4
45,1302,Alexander ARANBURU DEVA,13,350,3
46,0126,Gianni VERMEERSCH,0,340,2
47,0706,Benoit COSNEFROY,2,335,2
48,0714,Paul LAPEIRA,0,335,2
49,1018,Magnus SHEFFIELD,1,328,2
50,0912,Rudy MOLARD,0,325,1
