Sailkapena, Dortsala,Txirrindularia,Zenbatek?,Puntuak
1,1,Evenepoel Remco ,82,245
2,28,Vingegaard Jonas ,82,222
3,21,Roglic Primoz ,81,174
4,24,Kuss Sepp ,3,171
5,81,Groves Kaden ,74,148
6,11,Ayuso Juan ,82,116
7,36,Ganna Filippo ,3,100
8,141,Mas Enric ,74,84
9,45,Landa Mikel ,11,81
10,94,Kron Andreas ,0,74
11,46,Poels Wout ,2,69
12,15,Molano Sebastian ,38,67
13,12,Almeida Joao ,67,62
14,71,Vlasov Aleksandr ,79,54
15,75,Kämna Lennard ,8,54
16,57,Theuns Edward ,0,50
17,77,Uijtdebroeks Cian ,10,49
18,41,Buitrago Santiago ,35,47
19,131,Costa Rui ,1,45
20,163,Dainese Alberto ,41,44
21,161,Bardet Romain ,36,40
22,17,Soler Marc ,0,37
23,67,Storer Michael ,14,37
24,107,van den Berg Marijn ,52,31
25,151,Herrada Jesus ,1,31
26,187,Soupe Geoffrey ,0,31
27,98,Van Eetvelt Lennert ,1,30
28,211,Aular Orluis ,1,30
29,145,García Cortina Iván ,4,29
30,188,van Gestel Dries ,0,26
31,181,Cras Steff ,1,25
32,208,Sanchez Mayo Pelayo ,0,24
33,14,Fisher-Black Finn ,0,23
34,42,Caruso Damiano ,17,23
35,62,Martinez Lenny ,16,23
36,66,Grégoire Romain ,12,23
37,127,Sobrero Matteo ,0,23
38,72,Denz Nico ,0,17
39,116,Vendrame Andrea ,0,17
40,138,van Poppel Boy ,0,17
41,165,Hamilton Chris ,0,17
42,63,Askey Lewis ,0,16
43,178,Rodriguez Cristian ,0,15
44,2,Bagioli Andrea ,0,13
45,13,Oliveira Rui ,0,13
46,34,Castroviejo Jonathan ,0,13
47,54,Gebreigzabhier Amanuel ,1,13
48,95,Menten Milan ,9,13
49,103,Caicedo Jonathan ,0,13
50,135,Page Hugo ,2,13
51,168,Poole Max ,7,13
52,31,Thomas Geraint ,73,9
53,82,Ballerstedt Maurice ,0,9
54,186,Ourselin Paul ,0,9
55,213,Barceló Fernando ,0,9
56,214,Barrenetxea Jon ,0,9
57,3,Cattaneo Mattia ,0,7
58,52,Bernard Julien ,0,7
59,148,Rubio Einer ,12,7
60,156,Fernandez Ruben ,0,7
61,192,de la Cruz David ,0,7
