Posizioa,Id,Porralaria,Puntuak,1go,2.,3.,4.,5.,6.,Saria
1,63,Androni,1434,12,11,9,8,7,7,528.00 €
2,24,Patxizena,1433,12,11,7,8,7,6,330.00 €
3,42,Globulos Verdes,1404,12,9,7,7,7,6,198.00 €
4,25,Aixola,1355,12,9,7,6,8,6,132.00 €
5,47,Eriz Egurrak,1354,13,8,7,6,7,6,79.20 €
6,57,Abeto 1,1353,13,11,6,6,7,7,52.80 €
7,9,Keops,1350,13,9,7,5,7,9,Afaria
8,61,Pantuflos zapatillas jauna,1341,14,11,7,5,6,3,
9,20,Boasson Hagan,1341,13,8,8,6,7,6,
10,43,Globulos Verdes 1,1341,12,8,7,7,7,6,
11,51,Torreznoak,1338,11,9,7,7,7,6,
12,8,Damba,1337,12,9,4,7,7,8,
13,52,Lasa,1336,12,9,9,7,7,5,
14,34,El porras,1334,11,11,7,7,8,4,
15,41,Gamarrakoak  3,1331,13,8,7,6,7,7,
16,29,Kas Naranja,1330,11,9,8,6,7,5,
17,10,Zipi,1318,12,10,7,7,7,4,
18,65,Ghirotto,1308,13,12,6,5,6,4,
19,14,Xiorla team 2,1302,11,10,10,6,7,5,
20,56,Abeto 3,1302,11,10,10,6,7,5,
21,50,El Bitxo,1291,15,9,6,4,5,5,
22,31,Sor Presa,1291,12,9,4,5,7,8,
23,38,Enric + ,1290,13,9,7,5,8,7,
24,62,Posta,1281,13,9,7,5,7,7,
25,27,Gianni Bugno,1281,12,11,4,6,7,6,
26,28,Kas Limon,1281,12,11,4,6,7,6,
27,16,Strawberry fields,1278,12,10,4,5,9,6,
28,48,El divo,1278,12,9,5,5,7,8,
29,26,Benito txantxiku,1272,12,9,7,6,6,6,
30,33,Kukuts,1270,13,9,5,5,7,6,
31,12,Xiorla team,1259,12,7,10,6,6,7,
32,37,Enric + Girmay,1255,13,8,7,5,6,5,
33,3,Avagatrapa 2,1255,12,8,5,5,7,8,
34,4,Madrugeitor,1255,12,8,5,5,7,8,
35,19,Lauritzen,1248,14,8,5,5,7,6,
36,58,Abeto 2,1241,13,9,4,6,7,6,
37,53,Kopito,1240,11,7,10,5,6,7,
38,55,Landismo  ,1238,11,9,8,5,6,5,
39,49,La diva,1237,13,8,7,6,5,4,
40,64,Ferrigato,1237,11,10,9,5,5,4,
41,21,Nere,1233,13,6,7,5,6,7,
42,66,Brutta Cadutta,1233,12,10,6,5,5,7,
43,60,Gaizkasares,1232,13,7,7,6,6,6,
44,40,Gamarrakoak 2,1230,10,8,8,6,8,5,
45,23,Baketxeko txekorra,1221,13,6,7,5,6,6,
46,46,Leñas Eriz,1219,12,9,5,4,7,5,
47,59,Xabikas,1219,12,9,5,4,7,5,
48,13,Xiorla team 1,1217,13,8,10,4,4,6,
49,35,Atake de enric,1216,12,8,5,5,7,6,
50,45,Jose Sanchis,1212,12,11,6,5,5,5,
51,39,Gamarrakoak 1,1207,12,8,8,5,6,3,
52,1,Avagatrapa 4,1206,12,10,8,5,5,4,
53,18,Hushord,1204,13,8,6,5,5,5,
54,22,Baketxeko ixkua,1200,12,8,10,5,6,5,
55,44,Hector Antonio Ruiz,1200,12,7,8,5,6,6,
56,17,Penny Lane,1199,13,10,5,3,7,2,
57,36,Enric + Piganzoli,1196,12,10,6,5,5,6,
58,11,Zape,1186,12,7,7,4,6,9,
59,7,Porron,1183,8,8,7,6,8,6,
60,15,Joxepo,1166,12,9,6,5,5,5,
61,30,Gorka Astondoa,1160,12,7,8,7,6,3,
62,54,Landismo 2,1155,10,9,4,5,6,8,
63,2,Avagatrapa 3,1154,11,8,7,6,6,4,
64,32,Gru ta Gar,1139,10,8,5,4,7,5,
65,5,La bola de mi mundo,1105,8,8,8,7,7,4,
66,6,Porrota,1037,12,7,6,3,5,4,
