ODS_izena,garbitua,proposatua_kanonikoa,lehen_txapelketa,egoera,Txirrindularia_ID_eskuz
ALEX ARANBURU DEBA,ALEX ARANBURU DEBA,Alex Aranburu Deba,Vuelta a España 2021,BERRIA,
AMEZQUETA Julen (Esp),AMEZQUETA Julen,Amezqueta Julen,Vuelta a España 2020,BERRIA,
BARBERO Carlos (Esp),BARBERO Carlos,Barbero Carlos,Vuelta a España 2020,BERRIA,
BARTA William (USA),BARTA William,Barta William,Vuelta a España 2020,BERRIA,
Bidard François,Bidard François,Bidard François,Vuelta a España 2023,BERRIA,
CARR Simon,CARR Simon,Carr Simon,Giro D'Italia 2024,BERRIA,
CHUMIL Sergio Geovani,CHUMIL Sergio Geovani,Chumil Sergio Geovani,Vuelta a España 2025,BERRIA,
CRAPS Lars,CRAPS Lars,Craps Lars,Vuelta a España 2025,BERRIA,
DAVIDE CIMOLAI,DAVIDE CIMOLAI,Davide Cimolai,Vuelta a España 2021,BERRIA,
De Gendt Thomas,De Gendt Thomas,De Gendt Thomas,Vuelta a España 2023,BERRIA,
DE PESTEL Sander,DE PESTEL Sander,De Pestel Sander,Vuelta a España 2024,BERRIA,
[BEL] Devenyns Dries,Devenyns Dries,Devenyns Dries,Tour De France 2023,BERRIA,
DIEGO ANDRES CAMARGO PINEDA,DIEGO ANDRES CAMARGO PINEDA,Diego Andres Camargo Pineda,Vuelta a España 2021,BERRIA,
DUMOULIN Tom (PBa),DUMOULIN Tom,Dumoulin Tom,Vuelta a España 2020,BERRIA,
Dunbar Edward,Dunbar Edward,Dunbar Edward,Vuelta a España 2023,BERRIA,
EGAN ARLEY BERNAL,EGAN ARLEY BERNAL,Egan Arley Bernal,Vuelta a España 2021,BERRIA,
FABBRO Matteo,FABBRO Matteo,Fabbro Matteo,Giro D'Italia 2024,BERRIA,
FABIO ARU,FABIO ARU,Fabio Aru,Vuelta a España 2021,BERRIA,
Fausto Masnada,Fausto Masnada,Fausto Masnada,Vuelta a España 2022,BERRIA,
FROOME Chris (GBr),FROOME Chris,Froome Chris,Vuelta a España 2020,BERRIA,
GEE-WEST Derek,GEE-WEST Derek,Gee-west Derek,Giro D'Italia 2026,BERRIA,
GEENS Jonas,GEENS Jonas,Geens Jonas,Giro D'Italia 2026,BERRIA,
HARM VANHOUCKE,HARM VANHOUCKE,Harm Vanhoucke,Vuelta a España 2021,BERRIA,
HERRADA Jose (Esp),HERRADA Jose,Herrada Jose,Vuelta a España 2020,BERRIA,
HUGH JOHN CARTHY,HUGH JOHN CARTHY,Hugh John Carthy,Vuelta a España 2021,BERRIA,
