fitxategia,txapelketa,ezizena
2020/Vuelta a España 2020.ods,Vuelta a España 2020,AIASTUY BAITIA
2022/Vuelta a España 2022.ods,Vuelta a España 2022,Joseba Maskariano
2022/Vuelta a España 2022.ods,Vuelta a España 2022,TXINI
2022/Vuelta a España 2022.ods,Vuelta a España 2022,Ortopedias Martinez
2023/Giro 23/Giro 2023.ods,Giro D'Italia 2023,Globulos verdes II
2024/Giro 2024/Porra Giro 2024.ods,Giro D'Italia 2024,Glovulos verdes II
2024/Giro 2024/Porra Giro 2024.ods,Giro D'Italia 2024,Maddi II
2025/Giro 2025/Porra Giro 2025.ods,Giro D'Italia 2025,AVEGATRAPA III
2025/Giro 2025/Porra Giro 2025.ods,Giro D'Italia 2025,AVEGATRAPA II
2025/Giro 2025/Porra Giro 2025.ods,Giro D'Italia 2025,LEONCIO II
2025/Tour 2025/Porra Tour 2025.ods,Tour De France 2025,Landismo II
