Puntuatze Sailkapena,Txirrindularia,,Zenbatek?,Puntuak
1,141,ROGLIČ Primož,76,177
2,101,PINOT Thibaut,23,167
3,118,THOMAS Geraint,41,153
4,135,GEE Derek,0,148
5,45,MILAN Jonathan,6,123
6,211,ALMEIDA João,77,120
7,201,PEDERSEN Mads,74,97
8,23,GROVES Kaden,61,78
9,44,CARUSO Damiano,34,73
10,76,HEALY Ben,16,69
11,156,RUBIO Einer Augusto,3,65
12,212,ACKERMANN Pascal,29,64
13,181,LEKNESSUND Andreas,5,63
14,54,DENZ Nico,0,62
15,31,CAVENDISH Mark,21,61
16,193,DUNBAR Eddie,2,58
17,191,MATTHEWS Michael,42,55
18,112,ARENSMAN Thymen,19,50
19,78,NIELSEN Magnus Cort,16,48
20,198,ZANA Filippo,0,48
21,206,SKUJIŅŠ Toms,0,47
22,43,BUITRAGO Santiago,44,46
23,11,PARET-PEINTRE Aurélien,2,45
24,1,EVENEPOEL Remco,77,44
25,182,DAINESE Alberto,15,44
26,56,KÄMNA Lennard,31,35
27,7,VAN WILDER Ilan,0,34
28,81,ALBANESE Vincenzo,3,33
29,134,FRIGO Marco,0,33
30,82,BAIS Davide,0,31
31,216,MCNULTY Brandon,10,31
32,113,DE PLUS Laurens,1,30
33,161,BARGUIL Warren,4,30
34,146,KUSS Sepp,3,26
35,21,OLDANI Stefano,1,25
36,163,DEKKER David,1,23
37,178,VACEK Karel,0,23
38,204,KIRSCH Alex,0,23
39,74,CEPEDA Jefferson Alexander,1,17
40,77,BETTIOL Alberto,1,17
41,91,FIORELLI Filippo,0,17
42,111,GEOGHEGAN HART Tao,74,17
43,126,PETILLI Simone,0,17
44,132,BERWICK Sebastian,0,17
45,192,DE MARCHI Alessandro,0,17
46,151,GAVIRIA Fernando,68,16
47,97,TONELLI Alessandro,0,13
48,104,KÜNG Stefan,3,13
49,122,BONIFAZIO Niccolò,3,13
50,125,MARIT Arne,0,13
51,127,REX Laurenz,0,13
52,205,MOLLEMA Bauke,1,13
53,2,BALLERINI Davide,2,9
54,15,PARET-PEINTRE Valentin,0,9
55,22,CONCI Nicola,0,9
56,24,KRIEGER Alexander,0,9
57,61,CONSONNI Simone,12,9
58,102,ARMIRAIL Bruno,0,9
59,158,VERONA Carlos,0,9
60,172,DALLA VALLE Nicolas,0,9
61,185,MAYRHOFER Marius,1,9
62,38,VELASCO Simone,0,7
63,73,CARTHY Hugh,26,7
64,83,BAIS Mattia,0,7
65,87,MAESTRI Mirco,0,7
66,107,STEWART Jake,0,7
67,123,BYSTRØM Sven Erik,0,7
68,202,GHEBREIGZABHIER Amanuel,0,7
