Posizioa,Dortsalak,Txirrindularia,Zenbatek,Puntuak
1,1,PRIMOŽ ROGLIČ ,44,300
2,171,ENRIC MAS ,27,170
3,91,FABIO JAKOBSEN ,33,139
4,107,MAGNUS CORT NIELSEN ,3,133
5,44,JACK HAIG ,9,127
6,138,ADAM YATES ,29,119
7,197,MICHAEL STORER ,0,112
8,174,MIGUEL ANGEL LOPEZ ,31,81
9,26,JASPER PHILIPSEN ,35,79
10,193,ALBERTO DAINESE ,0,79
11,6,SEPP KUSS ,14,76
12,191,ROMAIN BARDET ,16,75
13,131,EGAN ARLEY BERNAL ,37,70
14,181,MICHAEL MATTHEWS ,28,63
15,13,CLÉMENT CHAMPOUSSIN ,4,57
16,45,GINO MÄDER ,1,55
17,92,ANDREA BAGIOLI ,7,53
18,228,MATTEO TRENTIN ,4,53
19,221,DAVID DE LA CRUZ ,7,52
20,5,STEVEN KRUIJSWIJK ,1,43
21,142,ODD CHRISTIAN EIKING ,0,41
22,51,FELIX GROSSSCHARTNER ,9,37
23,55,JORDI MEEUS ,3,36
24,81,GUILLAUME MARTIN ,17,35
25,43,DAMIANO CARUSO ,3,31
26,95,FLORIAN SENECHAL ,0,31
27,147,REIN TAARAMÄE ,0,31
28,224,RAFAL MAJKA ,2,31
29,121,ARNAUD DEMARE ,36,30
30,225,JUAN SEBASTIAN MOLANO BENAVIDES ,15,26
31,196,CHRISTOPHER HAMILTON ,0,24
32,82,PIET ALLEGAERT ,0,23
33,85,JESUS HERRADA ,0,23
34,98,MAURI VANSEVENANT ,3,23
35,178,CARLOS VERONA ,0,23
36,222,JOSEPH LLOYD DOMBROWSKI ,0,23
37,226,RUI OLIVEIRA ,0,23
38,72,JON ABERASTURI IZAGA ,3,21
39,21,JAY VINE ,3,17
40,136,PAVEL SIVAKOV ,1,17
41,192,THYMEN ARENSMAN ,1,17
42,213,KENNY ELISSONDE ,0,17
43,218,QUINN SIMMONS ,0,17
44,161,ANDREAS KRON ,2,16
45,215,JUAN PEDRO LOPEZ PEREZ ,0,15
46,12,LILIAN CALMEJANE ,2,13
47,31,ALEKSANDR VLASOV ,40,13
48,93,JOSEF ČERNÝ ,0,13
49,134,THOMAS PIDCOCK ,7,13
50,137,DYLAN VAN BAARLE ,0,13
51,184,LUKA MEZGEC ,0,13
52,11,GEOFFREY BOUCHARD ,3,10
53,15,STAN DEWULF ,0,9
54,32,ALEX ARANBURU DEBA ,11,9
55,127,ANTHONY ROUX ,0,9
56,155,ITAMAR EINHORN ,0,9
57,195,CHAD HAGA ,0,9
58,211,GIULIO CICCONE ,18,9
59,133,JHONATAN MANUEL NARVAEZ PRADO ,0,7
60,164,MATTHEW HOLMES ,0,7
61,88,RÉMY ROCHAS ,0,5
