Posizioa,Porreroa,,Puntuak,Saria
1,20,Scaroneta,1252,472,00 €
2,6,Baketxeko txekorra,1098,295,00 €
3,21,Giani Bugno,1075,177,00 €
4,28,KUKUTS,1057,118,00 €
5,46,GHIROTTO,1048,70,80 €
6,25,AVEGATRAPA III,1044,47,20 €
7,50,MICHELE BARTOLI,1037,Afaria
8,11,Richarlison,1033,
9,8,Nere,1031,
10,44,FERRIGATO,1005,
11,7,Baketxeko ixkua,984,
12,48,SABIN SAGAN,984,
13,3,Barbacola,983,
14,51,DAMIANO CUNEGO,982,
15,41,LA DIVA,979,
16,31,GAMARRAKOAK 4,975,
17,39,XMA1,973,
18,49,GILBERTO SIMONI,968,
19,29,LEONCIO II,967,
20,37,KOPITO,963,
21,43,GORABERAK,960,
22,15,DAMBA,948,
23,18,ROMINA,948,
24,24,Posta,944,
25,35,EKA1,942,
26,56,A LO BAJINI 1 ,931,
27,52,A+N,922,
28,58,ABETO 2,915,
29,32,GAMARRAKOAK 1,909,
30,53,MUSAKOLA BIZIRIK,900,
31,19,GAMBITO DE DAMA,897,
32,4,KAS NARANJA,896,
33,36,LASA,893,
34,45,BORTOLAMI,892,
35,33,GAMARRAKOAK 2,885,
36,40,DETXIL,884,
37,42,EL DIVO,882,
38,30,LEONCIO I ,880,
39,12,Pache,878,
40,2,Fruta Gar,876,
41,54,A LO BAJINI 3,872,
42,57,ABETO 3,871,
43,13,Leñas Eriz,868,
44,38,KOKOTXAS,862,
45,59,ABETO 1,860,
46,9,PoPo,841,
47,23,jvi,838,
48,1,B.  E.,833,
49,34,GAMARRAKOAK 3,833,
50,5,DURRUTI,821,
51,27,AVEGATRAPA II,821,
52,17,AL BANO,790,
53,26,AVEGATRAPA I,788,
54,55,A LO BAJINI 2,781,
55,16,KEOPS,731,
56,22,Astana Dream Team,730,
57,14,Eriz Egurrak,728,
58,47,ANDONI GIOCATOLLI,705,
59,10,PiPi,699,
