Txirrindulari Sailkapena,,,
Posizioa,Txirrindularia,Zenbatek,Puntuak
1,POGAČAR Tadej ,45,6060
2,VAN DER POEL Mathieu ,45,2520
3,PEDERSEN Mads ,44,2340
4,EVENEPOEL Remco ,42,1960
5,VAN AERT Wout ,40,1731
6,HEALY Ben ,1,1605
7,PIDCOCK Thomas ,43,1450
8,CICCONE Giulio ,0,1380
9,MATTHEWS Michael ,34,1360
10,DEL TORO Isaac ,0,1290
11,SKJELMOSE Mattias ,4,1265
12,GANNA Filippo ,6,1185
13,POWLESS Neilson ,8,1135
14,BENOOT Tiesj ,33,1123
15,DE LIE Arnaud,32,970
16,SIMMONS Quinn ,0,765
17,MAGNIER Paul ,4,730
18,CORT Magnus ,0,670
19,STUYVEN Jasper ,20,648
20,STORER Michael ,0,615
21,MERLIER Tim ,27,600
22,MCNULTY Brandon ,0,598
23,MILAN Jonathan ,41,575
24,GIRMAY Biniam ,39,550
25,PHILIPSEN Jasper ,45,545
26,JEANNIÈRE Emilien ,0,535
27,RENARD Alexis ,0,520
28,NYS Thibau ,3,520
29,SKUJIŅŠ Toms ,25,514
30,ALAPHILIPPE Julian ,21,500
31,YATES Adam ,0,475
32,WRIGHT Fred ,4,470
33,TRENTIN Matteo ,2,462
34,KOOIJ Olav ,24,460
35,SIVAKOV Pavel ,0,460
36,MARTINEZ Lenny ,0,440
37,KÜNG Stefan ,24,440
38,VELASCO Simone ,0,440
39,BETTIOL Alberto ,9,410
40,MEEUS Jordi ,25,400
41,TOWNSEND Rory ,0,400
42,ARANBURU Alex ,8,391
43,GROVES Kaden ,1,360
44,CHRISTEN Jan ,4,360
45,VERMEERSCH Florian ,2,360
46,WELLENS Tim ,13,360
47,BARRÉ Louis ,0,350
48,WÆRENSKJOLD Søren ,0,350
49,STRONG Corbin ,0,343
50,REX Laurenz ,2,335
51,SEIXAS Paul ,0,330
52,KRISTOFF Alexander ,2,325
53,VAUQUELIN Kévin ,1,320
54,MIHKELS Madis ,1,320
55,BISSEGGER Stefan ,1,310
56,BALLERINI Davide ,0,310
57,TEUNISSEN Mike ,2,303
58,BERNAL Egan ,1,300
59,MOLANO Juan Sebastián ,0,300
60,GRÉGOIRE Romain ,2,298
61,TULETT Ben ,0,285
62,RUTSCH Jonas ,0,280
63,BAGIOLI Andrea ,0,280
64,WITHEN PHILIPSEN Albert ,0,275
65,UIJTDEBROEKS Cian ,0,265
66,HOELGAARD Markus ,0,265
67,HERMANS Quinten ,0,263
68,VAN GILS Maxim ,44,260
69,JORGENSON Matteo ,31,255
70,BAUHAUS Phil ,1,250
71,MORGADO António ,2,245
72,GODON Dorian ,0,240
73,MARTÍNEZ Daniel Felipe ,0,240
