Posizioa,Zbkia,Porreroa,Puntuak
1,32,Felipe Team,23712
2,23,Mamola I,23382
3,25,Rafa Perez Galarraga,23349
4,12,El divo,22904
5,1,Segurwaves,22527
6,16,Nor,22304
7,35,Erruberagoikua,22254
8,2,Flautax,22047
9,3,Sor-presa,22047
10,31,Van der Kulen,21667
11,17,Berni,21619
12,34,Pomada,21241
13,19,Nere,21236
14,21,Baketxe 1,21166
15,11,Riders on the strom,21047
16,36,Aitor Ubera,21044
17,29,Gaizka Casares,20824
18,7,Urkiolax,20696
19,18,Jenny,20616
20,10,Van Der Goitia,20412
21,33,Olmedo Team,20389
22,27,Untzillaberg,20249
23,5,Comijai,20214
24,20,Baketxe,20011
25,22,Mamola II,19887
26,30,Alaves,19729
27,26,Karkas y miro,19558
28,9,Damba,19424
29,14,La diva,19424
30,13,Sasiordekan,19359
31,37,Kukutx,19314
32,6,Urkiolaxx,18789
33,24,Lastadiola,18709
34,28,Leñas Eriz,18079
35,8,Nolaba,17391
36,4,Serafin bigarrena,14751
37,15,Goro’s,13923
