Posizioa,Porreoa,Gaur,Guztira
1,Androni,395,1434
2,Pastrana,435,1433
3,Globulos Verdes,465,1404
4,Amurrio,420,1355
5,Eriz Egurrak,420,1354
6,Abeto 1,360,1353
7,Keops,385,1350
8,Errantes zapatillas jaun,300,1341
9,Boasson Hagan,390,1341
10,Gloubos Verdes 1,425,1341
11,Torreznoak,430,1338
12,Damba,435,1337
13,Jaskas,370,1336
14,El porras,385,1334
15,Grimaraoak 3,390,1331
16,Kas Naranja,425,1330
17,Ziri,370,1318
18,Ghirotto,285,1308
19,Abeto team 2,340,1302
20,Abeto 3,340,1302
21,El Beti,290,1291
22,Susi Presa,415,1291
23,Enric +,330,1290
24,Joseba,330,1281
25,Gianni Bugno,360,1281
26,Kas team,360,1281
27,Strawberry fields,375,1278
28,Leioa,385,1278
29,Benito txantxiku,355,1272
30,Muxikak,360,1270
31,Xiorla team,330,1259
32,Ernie Pantxavy,350,1255
33,Avagatrapa 2,385,1255
34,Madrugeitor,385,1255
35,Jaurizen,330,1248
36,Abeto 2,335,1241
37,Gorbea,355,1240
38,Landismo,355,1238
39,Arrate,335,1237
40,Ferrigato,330,1237
41,Neri,360,1233
42,Britta Cadiutta,325,1233
43,Linares,330,1232
44,Gamarraoak 2,370,1230
45,Bakekeko txeorra,330,1221
46,Eritis Pis,360,1219
47,Xabikas,360,1219
48,Xiorla team 1,285,1217
49,Atake de enric,360,1216
50,Jose Sanchis,295,1212
51,Gamarraoak 1,330,1207
52,Avagatrapa 1,285,1206
53,Hushord,325,1204
54,Bakekeko txikia,275,1200
55,Hector Antonio Ruiz,325,1200
56,Penny Lane,275,1190
57,Giric Paparzoli,295,1196
58,Lape,320,1186
59,Porrota,305,1183
60,Joxepo,295,1166
61,Gora Astiondoa,280,1160
62,Landismo 2,350,1155
63,Avagatrapa 3,305,1154
64,Gru ta Gar,365,1139
65,La vuelta al mundo,310,1105
66,Porrota,245,1037
